ISmiRNA	MFEI	NMFE	sqlen	GC	hairpinMFE	interior_loopMFE	STACKMFE	BULGEMFE
d	c	c	c	c	c	c	c	c
class				
T	-0.8047059003044578	-0.42750000953674316	80	42.5	-6.840000152587891	-2.442857197352818	-1.5545454892245205	-3.4200000762939453
T	-0.6256551913557381	-0.3500000105963813	72	40.27777777777778	-3.6000001089913503	-2.290909160267223	-1.2600000381469727	-2.290909160267223
T	-0.7421764373779297	-0.4608107901908256	74	45.945945945945944	-8.524999618530273	-2.6230768057016225	-1.7049999237060547	-3.4099998474121094
T	-0.8809318325736306	-0.5626506116016802	83	53.01204819277108	-5.837500095367432	-3.5923077509953427	-2.122727307406339	-4.245454614812678
T	-0.6636000080108643	-0.37619048073178246	84	47.61904761904762	-7.900000095367432	-2.257142884390695	-1.4363636537031694	-2.872727307406339
T	-0.8845000158037458	-0.49080460647056845	87	48.275862068965516	-5.337500095367432	-3.558333396911621	-1.7080000305175782	-3.558333396911621
T	-0.6442889022827148	-0.4645569716827779	79	56.962025316455694	-7.340000152587891	-2.823076981764573	-1.7476190839494978	-3.3363637057217685
T	-1.0514571238926478	-0.48620688778230514	87	40.229885057471265	-5.287499904632568	-3.2538460951585035	-1.8391304016113281	-4.229999923706055
T	-0.9248571428571429	-0.46987951807228917	83	42.16867469879518	-9.75	-3.0	-1.625	-3.9
T	-0.7232857142857143	-0.3674698795180723	83	42.16867469879518	-6.1	-2.1785714285714284	-1.7941176470588236	-3.05
T	-0.9147222222222221	-0.4157303370786517	89	40.449438202247194	-9.25	-2.8461538461538463	-1.48	-3.0833333333333335
T	-0.7886666488647461	-0.40238094329833984	84	42.857142857142854	-4.828571319580078	-2.414285659790039	-1.5363636016845703	-3.3799999237060545
T	-0.4681562584638596	-0.29718310396436237	71	45.070422535211264	-4.220000076293945	-1.7583333651224773	-1.1722222434149847	-1.9181818528608843
T	-0.9066857321602958	-0.4719512288163348	82	42.68292682926829	-2.9769231356107273	-3.51818188753995	-1.6125000317891438	-3.51818188753995
T	-0.8814473684210525	-0.4425287356321839	87	43.67816091954023	-9.625	-3.2083333333333335	-1.6041666666666667	-2.9615384615384617
T	-1.1607273171164774	-0.41562501589457196	96	34.375	-7.980000305175781	-3.3250001271565757	-1.3300000508626302	-3.0692308866060696
T	-0.8151851851851852	-0.43661971830985913	71	38.028169014084504	-2.5833333333333335	-2.8181818181818183	-1.4761904761904763	-2.8181818181818183
T	-0.7117713971819196	-0.48055553436279297	72	48.611111111111114	-8.649999618530273	-2.6615383441631613	-1.8210525512695312	-3.1454544067382812
T	-0.7354347685109014	-0.4682352851418888	85	54.11764705882353	-9.949999809265137	-2.8428570883614674	-1.4740740458170574	-3.618181748823686
T	-0.5787857010251	-0.45616437311041846	73	57.534246575342465	-3.027272657914595	-2.7749999364217124	-1.6649999618530273	-3.3299999237060547
T	-0.5259999847412109	-0.3867646946626551	68	50.0	-1.8785713740757533	-2.390909021550959	-1.3149999618530273	-2.6299999237060545
T	-0.47450000000000003	-0.3561643835616438	73	54.794520547945204	-3.25	-2.3636363636363638	-1.368421052631579	-2.6
T	-0.5689811562592129	-0.42738097054617746	84	63.095238095238095	-4.487500190734863	-2.3933334350585938	-1.9944445292154949	-2.991666793823242
T	-0.6679302188962005	-0.48441557450727984	77	55.84415584415584	-7.459999847412109	-3.390909021550959	-1.7761904398600261	-3.1083332697550454
T	-0.7198604787782181	-0.5220779319862267	77	55.84415584415584	-4.020000076293945	-2.8714286259242465	-2.1157895138389184	-3.6545455239035864
T	-0.6273191362746219	-0.4846153748341096	78	60.256410256410255	-7.55999984741211	-2.9076922490046573	-1.7999999636695498	-3.4363635670055044
T	-0.9593777923583985	-0.5837209391039472	86	52.325581395348834	-4.563636432994496	-4.563636432994496	-1.8592592875162761	-4.563636432994496
T	-0.7497142973400298	-0.3843750059604645	64	32.8125	-6.150000095367432	-1.8923077216515174	-1.3666666878594294	-2.4600000381469727
T	-0.6950526458338687	-0.5239436727174571	71	53.521126760563384	-7.44000015258789	-3.381818251176314	-1.6173913375191067	-3.1000000635782876
